,cycle_id,size,weight,selling_price
0,4038.0,32.0,32.04,1121400.0
1,4038.0,55.0,5311.92,370793264.0
2,4038.0,68.0,425.48,27908935.0
3,4038.0,88.0,367.54,21900974.0
4,4038.0,121.0,302.2,15634317.0
5,4038.0,170.0,82.68,3311665.0
6,4039.0,169.0,57.26,2301394.0
7,4039.0,128.0,111.84,5639868.0
8,4039.0,79.0,199.7,12414950.0
9,4039.0,67.0,2391.26,157921202.0
10,4039.0,103.0,192.48,10694574.0
11,4313.0,333.0,26.5,0.0
12,4938.0,160.0,334.0,16700000.0
13,5222.0,46.0,50.21,3658953.33
14,5222.0,59.0,1468.65,99680212.8
15,5222.0,83.0,94.67,4015901.4
16,5222.0,43.0,520.48,40441296.0
17,5222.0,30.0,1590.56,141225822.4
18,5223.0,55.0,106.44,6971820.0
19,5223.0,66.0,1412.3,91935080.8
20,5223.0,35.0,3287.57,274972354.8
21,5223.0,100.0,67.44,2853588.72
22,5223.0,36.0,522.97,43547711.9
23,5223.0,49.0,541.38,38741152.8
24,5223.0,53.0,13.72,911831.2
25,5253.0,45.0,25.26,1136700.0
26,5253.0,114.0,90.0,5150520.0
27,5253.0,88.0,99.6,6213048.0
28,5253.0,66.0,185.12,12625739.0
29,5253.0,55.0,235.8,17088426.0
30,5253.0,48.0,185.98,14365095.0
31,5253.0,40.0,243.28,20012213.0
32,5253.0,34.0,1370.0,120765500.0
33,5253.0,103.0,6.46,161500.0
34,5258.0,39.0,292.84,24232510.0
35,5258.0,35.0,808.94,70450585.0
36,5258.0,82.0,68.8,4369213.0
37,5258.0,46.0,177.82,13967761.0
38,5258.0,103.0,3.48,87000.0
39,5258.0,63.0,110.06,7609438.0
40,5258.0,110.0,55.98,3247176.0
41,5258.0,45.0,18.96,853200.0
42,5258.0,53.0,163.18,11962726.0
43,5435.0,137.0,284.58,15117500.0
44,5435.0,109.0,957.16,55078378.0
45,5437.0,121.0,429.03,24565301.0
46,5437.0,102.0,1109.73,64910720.0
47,5438.0,149.0,569.03,28752977.0
48,5438.0,102.0,2071.73,119301145.0
49,5439.0,123.0,349.94,19866811.0
50,5439.0,85.0,1319.48,83524723.0
51,5441.0,110.0,1680.0,96329300.0
52,5441.0,126.0,497.63,28059612.0
53,5442.0,138.0,597.55,31662100.0
54,5442.0,91.0,2449.86,149587640.0
55,5487.0,55.0,385.38,27947758.0
56,5487.0,83.0,291.26,18489767.0
57,5487.0,118.0,204.08,11502765.0
58,5487.0,65.0,30.0,1350000.0
59,5487.0,57.0,32.0,1440000.0
60,5487.0,100.0,8.6,215000.0
61,5487.0,45.0,434.72,33625592.0
62,5487.0,55.0,20.0,900000.0
63,5487.0,39.0,454.54,37645003.0
64,5487.0,45.0,4.8,216000.0
65,5487.0,39.0,2328.66,192743188.0
66,5487.0,65.0,323.04,22165067.0
67,5902.0,30.0,606.0,50298000.0
68,5902.0,46.0,217.7,15285345.0
69,5902.0,39.0,202.16,16091936.0
70,5902.0,84.0,161.3,9065060.0
71,5902.0,66.0,153.9,9235461.0
72,5903.0,57.0,151.5,9533592.0
73,5903.0,45.0,211.7,15136550.0
74,5903.0,80.0,132.4,7546800.0
75,5903.0,28.0,728.0,61861300.0
76,5903.0,38.0,234.1,18774820.0
77,5918.0,30.0,303.88,26133680.0
78,5918.0,27.0,743.3,67787136.0
79,5918.0,45.0,270.2,20400100.0
80,5918.0,58.0,203.9,13212720.0
81,5918.0,83.0,172.4,9669396.0
82,5918.0,34.0,213.66,18107685.0
83,5919.0,29.0,197.06,17242750.0
84,5919.0,27.0,541.3,49749146.0
85,5919.0,52.0,102.1,6877456.0
86,5919.0,32.0,235.5,20194125.0
87,5920.0,38.0,309.2,25830568.0
88,5920.0,47.0,251.3,18319770.0
89,5920.0,71.0,212.8,12701772.0
90,5920.0,38.0,126.7,10531304.0
91,5921.0,71.0,218.5,13042062.0
92,5921.0,39.0,250.9,20749430.0
93,5921.0,46.0,245.8,18078590.0
94,5921.0,38.0,362.5,30359375.0
95,7273.0,47.0,261.89,18693708.0
96,7273.0,93.0,350.0,18585000.0
97,7276.0,81.0,332.0,19123200.0
98,7276.0,47.0,308.9,21962790.0
99,7277.0,47.0,329.5,23065000.0
100,7277.0,74.0,229.0,13694200.0
101,7289.0,82.0,237.0,13556400.0
102,7289.0,49.0,195.0,13260000.0
103,7293.0,70.0,266.0,16226000.0
104,7293.0,50.0,533.5,35744500.0
105,7303.0,53.0,526.0,34768600.0
106,7303.0,79.0,136.0,7928800.0
107,7605.0,82.0,12.03,600826.32
108,7605.0,100.0,39.54,1257372.0
109,7605.0,82.0,767.01,47884434.3
110,7605.0,114.0,967.76,46646032.0
111,7605.0,220.0,11.94,298500.0
112,7605.0,82.0,10.66,532403.04
113,7605.0,100.0,654.3,34677900.0
114,7606.0,63.0,2053.19,135715859.0
115,7606.0,63.0,81.32,3762676.4
116,7897.0,250.0,115.0,115.0
117,7897.0,245.0,115.0,115.0
118,7897.0,200.0,215.0,215.0
119,7991.0,72.0,4.24,127200.0
120,7991.0,44.0,7856.37,602891701.0
121,7991.0,71.0,1238.72,74694816.0
122,7992.0,40.0,11434.38,929609359.52
123,7992.0,67.0,7.88,236400.0
124,7992.0,67.0,1495.75,92667695.5
125,7993.0,38.0,10158.13,838141743.75
126,7993.0,66.0,1545.05,96037217.9
127,7995.0,59.0,242.82,16336491.24
128,7996.0,51.0,235.23,16126134.46
129,7997.0,91.0,31.19,623800.0
130,7997.0,91.0,535.86,27797737.5
131,7998.0,47.0,475.49,34764128.0
132,7999.0,47.0,610.85,44488259.0
133,8000.0,50.0,8057.67,627431881.92
134,8000.0,74.0,20.0,600000.0
135,8000.0,74.0,1241.52,73602271.68
136,8004.0,66.0,2914.76,181123186.4
137,8004.0,66.0,13.4,402000.0
138,8004.0,49.0,15105.89,1071241207.8
139,8005.0,67.0,2549.44,157802687.68
140,8005.0,54.0,8537.45,590928139.2
141,8005.0,67.0,18.61,558300.0
