,cycle_id,sampled_at,average_weight,distance_date,average_daily_gain,avg_pond_length,avg_pond_width,avg_pond_depth,long_cycle(day),total_feed(kg),avg_tray_number,avg_feed_remain%,count_fasting,total_mortal,avg_weight_mortal,avg_weight_sample
0,3458.0,2020-04-10,4.37,0,0.0,80.09,60.07,1.2,112.0,9987.0,0.0,0.0,0.0,0.0,0.0,13.589999999999998
1,3458.0,2020-04-17,5.23,7,0.1228571428571429,80.09,60.07,1.2,112.0,9987.0,0.0,0.0,0.0,0.0,0.0,13.589999999999998
2,3458.0,2020-04-24,6.69,7,0.20857142857142857,80.09,60.07,1.2,112.0,9987.0,0.0,0.0,0.0,0.0,0.0,13.589999999999998
3,3458.0,2020-05-01,8.21,7,0.21714285714285722,80.09,60.07,1.2,112.0,9987.0,0.0,0.0,0.0,0.0,0.0,13.589999999999998
4,3458.0,2020-05-08,9.68,7,0.20999999999999983,80.09,60.07,1.2,112.0,9987.0,0.0,0.0,0.0,0.0,0.0,13.589999999999998
5,3458.0,2020-05-15,11.59,7,0.27285714285714285,80.09,60.07,1.2,112.0,9987.0,0.0,0.0,0.0,0.0,0.0,13.589999999999998
6,3458.0,2020-05-22,13.82,7,0.3185714285714286,80.09,60.07,1.2,112.0,9987.0,0.0,0.0,0.0,0.0,0.0,13.589999999999998
7,3458.0,2020-05-29,15.62,7,0.257142857142857,80.09,60.07,1.2,112.0,9987.0,0.0,0.0,0.0,0.0,0.0,13.589999999999998
8,3458.0,2020-06-05,18.15,7,0.3614285714285713,80.09,60.07,1.2,112.0,9987.0,0.0,0.0,0.0,0.0,0.0,13.589999999999998
9,3458.0,2020-06-12,20.49,7,0.33428571428571424,80.09,60.07,1.2,112.0,9987.0,0.0,0.0,0.0,0.0,0.0,13.589999999999998
10,3458.0,2020-06-19,24.05,7,0.5085714285714289,80.09,60.07,1.2,112.0,9987.0,0.0,0.0,0.0,0.0,0.0,13.589999999999998
11,3458.0,2020-06-26,25.18,7,0.16142857142857128,80.09,60.07,1.2,112.0,9987.0,0.0,0.0,0.0,0.0,0.0,13.589999999999998
12,3459.0,2020-04-10,4.18,0,0.0,78.62,58.97,1.2,121.0,10913.0,0.0,0.0,0.0,0.0,0.0,14.322307692307692
13,3459.0,2020-04-17,4.95,7,0.11000000000000007,78.62,58.97,1.2,121.0,10913.0,0.0,0.0,0.0,0.0,0.0,14.322307692307692
14,3459.0,2020-04-24,6.23,7,0.18285714285714288,78.62,58.97,1.2,121.0,10913.0,0.0,0.0,0.0,0.0,0.0,14.322307692307692
15,3459.0,2020-05-01,7.94,7,0.24428571428571427,78.62,58.97,1.2,121.0,10913.0,0.0,0.0,0.0,0.0,0.0,14.322307692307692
16,3459.0,2020-05-08,9.56,7,0.23142857142857146,78.62,58.97,1.2,121.0,10913.0,0.0,0.0,0.0,0.0,0.0,14.322307692307692
17,3459.0,2020-05-15,11.46,7,0.27142857142857146,78.62,58.97,1.2,121.0,10913.0,0.0,0.0,0.0,0.0,0.0,14.322307692307692
18,3459.0,2020-05-22,13.62,7,0.30857142857142833,78.62,58.97,1.2,121.0,10913.0,0.0,0.0,0.0,0.0,0.0,14.322307692307692
19,3459.0,2020-05-29,15.27,7,0.23571428571428577,78.62,58.97,1.2,121.0,10913.0,0.0,0.0,0.0,0.0,0.0,14.322307692307692
20,3459.0,2020-06-05,17.88,7,0.3728571428571428,78.62,58.97,1.2,121.0,10913.0,0.0,0.0,0.0,0.0,0.0,14.322307692307692
21,3459.0,2020-06-12,20.48,7,0.3714285714285716,78.62,58.97,1.2,121.0,10913.0,0.0,0.0,0.0,0.0,0.0,14.322307692307692
22,3459.0,2020-06-19,22.88,7,0.34285714285714264,78.62,58.97,1.2,121.0,10913.0,0.0,0.0,0.0,0.0,0.0,14.322307692307692
23,3459.0,2020-06-26,25.15,7,0.32428571428571423,78.62,58.97,1.2,121.0,10913.0,0.0,0.0,0.0,0.0,0.0,14.322307692307692
24,3459.0,2020-07-03,26.59,7,0.2057142857142859,78.62,58.97,1.2,121.0,10913.0,0.0,0.0,0.0,0.0,0.0,14.322307692307692
25,4038.0,2020-05-30,5.0,0,0.0,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
26,4038.0,2020-05-31,5.25,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
27,4038.0,2020-06-01,5.5,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
28,4038.0,2020-06-02,5.75,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
29,4038.0,2020-06-03,6.0,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
30,4038.0,2020-06-04,6.25,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
31,4038.0,2020-06-05,6.5,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
32,4038.0,2020-06-06,6.75,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
33,4038.0,2020-06-07,7.0,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
34,4038.0,2020-06-08,7.25,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
35,4038.0,2020-06-09,7.75,1,0.5,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
36,4038.0,2020-06-10,8.25,1,0.5,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
37,4038.0,2020-06-11,8.75,1,0.5,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
38,4038.0,2020-06-12,9.0,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
39,4038.0,2020-06-13,9.25,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
40,4038.0,2020-06-14,9.5,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
41,4038.0,2020-06-15,9.75,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
42,4038.0,2020-06-16,10.0,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
43,4038.0,2020-06-17,10.25,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
44,4038.0,2020-06-18,10.5,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
45,4038.0,2020-06-19,10.75,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
46,4038.0,2020-06-20,11.0,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
47,4038.0,2020-06-21,11.25,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
48,4038.0,2020-06-22,11.5,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
49,4038.0,2020-06-23,11.75,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
50,4038.0,2020-06-24,12.0,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
51,4038.0,2020-06-25,12.25,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
52,4038.0,2020-06-26,12.5,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
53,4038.0,2020-06-27,12.75,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
54,4038.0,2020-06-28,13.0,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
55,4038.0,2020-06-29,13.25,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
56,4038.0,2020-06-30,13.5,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
57,4038.0,2020-07-01,13.75,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
58,4038.0,2020-07-02,14.0,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
59,4038.0,2020-07-03,14.25,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
60,4038.0,2020-07-04,14.5,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
61,4038.0,2020-07-05,14.75,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
62,4038.0,2020-07-06,15.0,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
63,4038.0,2020-07-07,15.75,1,0.75,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
64,4038.0,2020-07-08,16.0,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
65,4038.0,2020-07-09,16.25,1,0.25,60.0,45.0,1.5,94.0,7790.6,0.0,0.0,0.0,0.0,0.0,10.585365853658537
66,4039.0,2020-05-30,4.9,0,0.0,37.06,27.79,1.9,94.0,3770.5,0.0,0.0,0.0,0.0,0.0,10.88125
67,4039.0,2020-05-31,5.4,1,0.5,37.06,27.79,1.9,94.0,3770.5,0.0,0.0,0.0,0.0,0.0,10.88125
68,4039.0,2020-06-01,5.9,1,0.5,37.06,27.79,1.9,94.0,3770.5,0.0,0.0,0.0,0.0,0.0,10.88125
69,4039.0,2020-06-02,6.4,1,0.5,37.06,27.79,1.9,94.0,3770.5,0.0,0.0,0.0,0.0,0.0,10.88125
70,4039.0,2020-06-03,5.9,1,-0.5,37.06,27.79,1.9,94.0,3770.5,0.0,0.0,0.0,0.0,0.0,10.88125
71,4039.0,2020-06-04,6.4,1,0.5,37.06,27.79,1.9,94.0,3770.5,0.0,0.0,0.0,0.0,0.0,10.88125
72,4039.0,2020-06-05,6.9,1,0.5,37.06,27.79,1.9,94.0,3770.5,0.0,0.0,0.0,0.0,0.0,10.88125
73,4039.0,2020-06-06,7.4,1,0.5,37.06,27.79,1.9,94.0,3770.5,0.0,0.0,0.0,0.0,0.0,10.88125
74,4039.0,2020-06-07,7.9,1,0.5,37.06,27.79,1.9,94.0,3770.5,0.0,0.0,0.0,0.0,0.0,10.88125
75,4039.0,2020-06-08,8.4,1,0.5,37.06,27.79,1.9,94.0,3770.5,0.0,0.0,0.0,0.0,0.0,10.88125
